Domain_Entropy,Vowel_Ratio,Domain_Length,Outbound_Conn,Packet_Size,Comm_Time,Non_Std_Ports,Protocol_Type,Distinct_IPs,TLS_Validity,DNS_Query_Rate,User_Agent,Exfil_Indicator,Packet_Frequency,Failed_Connection_Attempts,Traffic_Volume,Response_Time,category
2.864573694,0.25848102,9,16,466,Day,No,HTTPS,3,Valid Certificates,1,Standard Agents,No,3,2,68.88056243,29.98690269,Benign
2.724242287,0.25177624,5,13,503,Day,No,HTTPS,3,Valid Certificates,6,Standard Agents,No,7,3,59.12971567,38.00811581,Benign
2.692145043,0.287868041,9,13,403,Day,No,HTTPS,2,Valid Certificates,9,Standard Agents,No,1,0,75.22746036,27.65213941,Benign
2.679306376,0.255951967,8,14,429,Day,No,HTTP,2,Valid Certificates,4,Standard Agents,No,4,0,173.7029453,32.18434741,Benign
2.6910623,0.272480675,8,19,598,Day,No,HTTPS,3,Valid Certificates,4,Standard Agents,No,2,0,81.099666,37.46659277,Benign
2.937786506,0.25512486,9,13,567,Day,No,HTTP,2,Valid Certificates,1,Standard Agents,No,8,4,101.8054685,44.5048744,Benign
2.72702611,0.274540639,8,17,492,Day,No,HTTP,2,Valid Certificates,4,Standard Agents,No,1,4,115.7667793,31.94339345,Benign
2.815063412,0.268039105,8,18,408,Day,No,HTTPS,3,Valid Certificates,4,Standard Agents,No,9,4,142.9823632,39.89130833,Benign
2.734327728,0.282012179,8,19,492,Day,No,HTTPS,3,Valid Certificates,6,Standard Agents,No,1,0,199.8069387,33.96129056,Benign
2.978389192,0.272206116,6,12,451,Day,No,HTTPS,2,Valid Certificates,7,Standard Agents,No,7,1,100.4304713,26.07555477,Benign
2.785726543,0.257047875,9,14,423,Day,No,HTTPS,3,Valid Certificates,5,Standard Agents,No,7,3,157.382752,38.62242266,Benign
2.71644304,0.260982171,8,12,585,Day,No,HTTP,2,Valid Certificates,1,Standard Agents,No,2,1,140.0375602,29.42686542,Rhysida
2.99845609,0.264925463,8,17,413,Day,No,HTTPS,3,Valid Certificates,5,Standard Agents,No,2,4,59.2975463,47.50877308,Benign
2.609398565,0.261858122,5,17,489,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,6,0,140.7213405,45.19040702,Benign
2.687746292,0.271271206,5,14,453,Day,No,HTTP,3,Valid Certificates,3,Standard Agents,No,5,0,189.0372285,37.59043728,Benign
2.837718251,0.260626146,7,14,411,Day,No,HTTPS,3,Valid Certificates,9,Standard Agents,No,6,4,145.7085576,42.10035557,Benign
2.614702279,0.279855006,8,11,453,Day,No,HTTPS,2,Valid Certificates,1,Standard Agents,No,1,1,140.6258846,36.00609256,Benign
2.856757545,0.288026599,8,16,482,Day,No,HTTP,3,Valid Certificates,5,Standard Agents,No,1,3,88.66061909,22.26998374,Benign
2.5607619,0.298849229,5,18,552,Day,No,HTTP,3,Valid Certificates,1,Standard Agents,No,1,0,176.0661514,39.99844328,Benign
2.704622556,0.272547838,5,15,595,Day,No,HTTPS,2,Valid Certificates,8,Standard Agents,No,6,3,152.8205311,46.40996116,Benign
2.962190432,0.294032104,6,11,517,Day,No,HTTP,3,Valid Certificates,4,Standard Agents,No,1,2,172.9186733,29.32334358,Benign
2.907352417,0.272135833,7,10,485,Day,No,HTTPS,2,Valid Certificates,7,Standard Agents,No,7,0,139.702403,37.81113801,Benign
2.535470953,0.272355794,6,10,591,Day,No,HTTP,3,Valid Certificates,7,Standard Agents,No,6,1,114.8984513,28.26486181,Benign
2.957102264,0.252422266,7,17,527,Day,No,HTTPS,2,Valid Certificates,9,Standard Agents,No,4,3,115.977849,27.62333194,Benign
2.704633176,0.250397465,6,15,468,Day,No,HTTP,3,Valid Certificates,4,Standard Agents,No,1,4,131.2247203,28.88997736,Benign
2.893547023,0.263364157,8,19,484,Day,No,HTTP,3,Valid Certificates,7,Standard Agents,No,3,2,166.0071552,22.77432666,Benign
2.662888794,0.254720959,7,15,474,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,2,1,183.2001897,30.93999969,Benign
2.560270963,0.271064415,9,12,435,Day,No,HTTPS,3,Valid Certificates,2,Standard Agents,No,6,0,132.6116942,46.3222312,Benign
2.651710165,0.299623008,8,19,434,Day,No,HTTPS,2,Valid Certificates,9,Standard Agents,No,9,0,105.8083069,20.85654519,Benign
2.617392729,0.292744056,9,12,418,Day,No,HTTP,2,Valid Certificates,8,Standard Agents,No,4,4,199.7638113,45.10514974,Benign
2.884763143,0.286371874,9,19,522,Day,No,HTTPS,2,Valid Certificates,4,Standard Agents,No,9,0,130.9564204,49.3795827,Benign
2.893021301,0.274802008,5,13,524,Day,No,HTTPS,2,Valid Certificates,7,Standard Agents,No,7,4,114.3526987,40.67057807,Benign
2.68681294,0.28568121,9,15,493,Day,No,HTTP,2,Valid Certificates,8,Standard Agents,No,8,4,93.51411155,36.88643813,Benign
2.96594121,0.288718683,7,10,592,Day,No,HTTP,3,Valid Certificates,1,Standard Agents,No,6,0,135.8973304,22.5284108,Benign
2.834589699,0.266217591,7,15,581,Day,No,HTTPS,3,Valid Certificates,2,Standard Agents,No,3,0,157.0636141,40.69814422,Benign
2.880118725,0.263729215,9,19,443,Day,No,HTTP,3,Valid Certificates,3,Standard Agents,No,7,0,158.4977602,43.32920454,Benign
2.519426327,0.260211702,9,18,597,Day,No,HTTP,2,Valid Certificates,9,Standard Agents,No,1,1,149.3668428,41.93841094,Benign
2.95181307,0.254576755,9,16,527,Day,No,HTTP,3,Valid Certificates,1,Standard Agents,No,1,3,122.6451998,28.04639991,Benign
2.934937596,0.279369912,6,12,576,Day,No,HTTP,3,Valid Certificates,8,Standard Agents,No,7,4,107.0693461,37.81959015,Benign
2.822660423,0.285123596,9,11,508,Day,No,HTTPS,3,Valid Certificates,9,Standard Agents,No,3,1,102.5405836,31.94673311,Benign
2.605586285,0.267832136,9,16,589,Day,No,HTTP,3,Valid Certificates,4,Standard Agents,No,5,0,56.21406105,21.32553879,Benign
2.805395443,0.293655391,7,15,536,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,3,3,158.4488392,45.69681305,Benign
2.967973999,0.257552673,5,19,505,Day,No,HTTP,3,Valid Certificates,2,Standard Agents,No,9,2,120.3049286,45.94354797,Benign
2.531519038,0.253841021,7,19,432,Day,No,HTTP,2,Valid Certificates,9,Standard Agents,No,1,1,189.3491391,32.4464211,Benign
2.880696685,0.284803966,6,14,416,Day,No,HTTP,3,Valid Certificates,4,Standard Agents,No,6,3,74.36668403,22.94753258,Benign
2.595953997,0.250575625,5,19,535,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,9,4,177.0603461,26.94474176,Akira
2.990277227,0.268939175,6,18,521,Day,No,HTTP,3,Valid Certificates,3,Standard Agents,No,2,1,80.01452196,47.60473408,Benign
2.974837313,0.26939064,7,11,408,Day,No,HTTPS,2,Valid Certificates,2,Standard Agents,No,6,1,65.50249671,40.79894127,Benign
2.918666702,0.26983287,6,19,421,Day,No,HTTPS,3,Valid Certificates,1,Standard Agents,No,6,2,99.49389531,47.48782566,Benign
2.857876285,0.269098366,9,10,500,Day,No,HTTPS,3,Valid Certificates,5,Standard Agents,No,1,2,142.6640822,46.8598597,Benign
2.527926408,0.270333765,6,15,589,Day,No,HTTPS,3,Valid Certificates,4,Standard Agents,No,5,1,76.98102728,48.14740177,Benign
